Transaction ID,Account Id,Transaction Amount,Transaction Date,Transaction Type,Location,Device Id,IP Address,Merchant Id,Channel,Customer Age,Customer Occupation,Transaction Duration,Login Attempts,Account Balance,Previous Transaction Date
TRX00021,ACC054,,2025-01-09 08:00:00,Transfer,Jakarta,DEV4,10.0.0.1,M003,Internet Banking,57,Karyawan Swasta,298,2,43210396.79225174,2025-01-08 08:00:00
TRX00022,ACC085,36.385048208345545,2025-01-09 18:00:00,Transfer,Surabaya,DEV2,10.0.0.1,M002,Internet Banking,50,Karyawan Swasta,40,1,39098004.16370005,2025-01-03 18:00:00
TRX00023,ACC014,1207.276233630631,2025-01-10 04:00:00,Deposit,Bandung,DEV4,192.168.1.1,M004,Internet Banking,48,Karyawan Swasta,277,3,46547302.850003615,2025-01-01 04:00:00
TRX00024,ACC095,132.59292890014933,2025-01-10 14:00:00,Withdrawal,Surabaya,DEV2,10.0.0.1,M002,Internet Banking,61,Wiraswasta,20,4,12362940.578075802,2025-01-09 14:00:00
TRX00025,ACC055,62.27469211692869,2025-01-11 00:00:00,Transfer,Medan,DEV4,10.0.0.1,M001,Mobile Banking,51,PNS,41,4,28890261.591036856,2025-01-08 00:00:00
TRX00026,ACC048,163.290788588622,2025-01-11 10:00:00,Payment,Jakarta,DEV1,172.16.0.1,M001,Internet Banking,67,PNS,66,3,13799774.778548187,2025-01-04 10:00:00
TRX00027,ACC082,301.25045641369155,2025-01-11 20:00:00,Withdrawal,Medan,DEV4,10.0.0.1,M003,Internet Banking,24,PNS,175,3,41222315.07517027,2025-01-07 20:00:00
TRX00028,ACC007,182.87870391955846,2025-01-12 06:00:00,Withdrawal,Medan,DEV2,192.168.1.1,M001,Internet Banking,66,Pelajar,197,4,365677.10949610645,2025-01-03 06:00:00
TRX00029,ACC074,906.1728699315778,2025-01-12 16:00:00,Deposit,Medan,DEV2,10.0.0.1,M002,ATM,40,Wiraswasta,28,3,28284476.228031166,2025-01-09 16:00:00
TRX00030,ACC007,264.0021715868614,2025-01-13 02:00:00,Deposit,Jakarta,DEV3,192.168.1.1,M002,Internet Banking,63,PNS,125,3,17026251.220468707,2025-01-08 02:00:00
TRX00031,ACC033,96.9395204641104,2025-01-13 12:00:00,Payment,Jakarta,DEV4,172.16.0.1,M002,Mobile Banking,24,PNS,193,2,16201916.98318323,2025-01-10 12:00:00
TRX00032,ACC023,270.91045027722697,2025-01-13 22:00:00,Transfer,Bali,DEV1,192.168.1.1,M002,Mobile Banking,42,PNS,279,3,32280825.560859356,2025-01-06 22:00:00
TRX00033,ACC085,314.0196776716862,2025-01-14 08:00:00,Deposit,Surabaya,DEV4,10.0.0.1,M003,Internet Banking,20,Wiraswasta,42,1,42589074.0207683,2025-01-09 08:00:00
TRX00034,ACC019,21.230442552222577,2025-01-14 18:00:00,Deposit,Surabaya,DEV4,172.16.0.1,M004,Mobile Banking,55,PNS,19,1,30498850.03052698,2025-01-05 18:00:00
TRX00035,ACC019,832.2472668459174,2025-01-15 04:00:00,Withdrawal,Bali,DEV1,10.0.0.1,M004,ATM,37,PNS,89,1,42673331.634471454,2025-01-08 04:00:00
TRX00036,ACC036,94.5041709873516,2025-01-15 14:00:00,Deposit,Bali,DEV4,172.16.0.1,M003,Internet Banking,51,Wiraswasta,201,4,13303395.882863395,2025-01-13 14:00:00
TRX00037,ACC029,98.20087883318939,2025-01-16 00:00:00,Deposit,Medan,DEV1,172.16.0.1,M001,Mobile Banking,66,Pelajar,199,1,26023142.55277256,2025-01-12 00:00:00
TRX00038,ACC060,458.0892254870022,2025-01-16 10:00:00,Deposit,Bali,DEV1,10.0.0.1,M004,Mobile Banking,61,Karyawan Swasta,77,2,22581773.299447093,2025-01-07 10:00:00
TRX00039,ACC082,455.2049860956722,2025-01-16 20:00:00,Deposit,Bandung,DEV4,10.0.0.1,M001,Internet Banking,61,PNS,134,1,681080.4852045013,2025-01-14 20:00:00
TRX00040,ACC002,51.87061691108793,2025-01-17 06:00:00,Withdrawal,Surabaya,DEV4,172.16.0.1,M004,Mobile Banking,47,Karyawan Swasta,68,4,27884925.94272293,2025-01-08 06:00:00
TRX00041,ACC001,494.898369436201,2025-01-17 16:00:00,Payment,Bali,DEV2,172.16.0.1,M001,Internet Banking,34,Pelajar,106,2,33110063.77489413,2025-01-12 16:00:00
TRX00042,ACC047,64.02846645088215,2025-01-18 02:00:00,Payment,Bandung,DEV2,10.0.0.1,M003,Mobile Banking,27,Pelajar,284,1,29636528.780511595,2025-01-16 02:00:00
TRX00043,ACC069,2274.1453035491672,2025-01-18 12:00:00,Transfer,Bandung,DEV3,192.168.1.1,M002,ATM,52,PNS,158,2,36840366.949292734,2025-01-14 12:00:00
TRX00044,ACC020,42.850144964261894,2025-01-18 22:00:00,Deposit,Bandung,DEV3,10.0.0.1,M001,Mobile Banking,37,Wiraswasta,287,2,28609842.46980855,2025-01-11 22:00:00
TRX00045,ACC011,212.5582763807533,2025-01-19 08:00:00,Withdrawal,Bandung,DEV4,172.16.0.1,M002,Mobile Banking,35,Pelajar,274,4,3430837.7170527703,2025-01-11 08:00:00
TRX00046,ACC002,45.92334275910724,2025-01-19 18:00:00,Transfer,Medan,DEV1,10.0.0.1,M001,Internet Banking,62,Karyawan Swasta,18,4,5910631.651827101,2025-01-16 18:00:00
TRX00047,ACC067,4163.217299732385,2025-01-20 04:00:00,Transfer,Bandung,DEV3,192.168.1.1,M001,Mobile Banking,61,Karyawan Swasta,292,2,29864081.419443224,2025-01-19 04:00:00
TRX00048,ACC087,23.179507336535526,2025-01-20 14:00:00,Payment,Medan,DEV4,10.0.0.1,M001,Internet Banking,44,Karyawan Swasta,282,1,13821461.679484645,2025-01-16 14:00:00
TRX00049,ACC012,325.8848574199861,2025-01-21 00:00:00,Withdrawal,Medan,DEV3,172.16.0.1,M001,ATM,66,Karyawan Swasta,17,4,4074291.9388348153,2025-01-19 00:00:00
TRX00050,ACC020,49.2857197222864,2025-01-21 10:00:00,Withdrawal,Bandung,DEV1,10.0.0.1,M001,Internet Banking,53,Pelajar,217,2,21537176.898082484,2025-01-13 10:00:00
TRX00051,ACC005,87.25532038325156,2025-01-21 20:00:00,Withdrawal,,DEV4,172.16.0.1,M002,Internet Banking,40,PNS,134,3,27760697.644374404,2025-01-17 20:00:00
TRX00052,ACC037,293.0393061252383,2025-01-22 06:00:00,Payment,,DEV1,172.16.0.1,M001,Mobile Banking,49,PNS,132,3,16504424.818645367,2025-01-20 06:00:00
TRX00053,ACC038,931.5749574650756,2025-01-22 16:00:00,Payment,,DEV4,10.0.0.1,M002,ATM,27,Karyawan Swasta,42,4,36049641.74106632,2025-01-16 16:00:00
TRX00054,ACC094,1694.4184158583337,2025-01-23 02:00:00,Payment,,DEV3,172.16.0.1,M003,Internet Banking,28,PNS,10,1,32224153.34425211,2025-01-17 02:00:00
TRX00055,ACC009,14.799273029873483,2025-01-23 12:00:00,Payment,,DEV2,172.16.0.1,M004,Mobile Banking,55,Karyawan Swasta,213,3,16707636.218474431,2025-01-19 12:00:00
TRX00056,ACC098,221.7669013994807,2025-01-23 22:00:00,Payment,,DEV3,192.168.1.1,M001,Mobile Banking,23,Karyawan Swasta,15,3,37768139.19253717,2025-01-17 22:00:00
TRX00057,ACC053,1325.0962868162,2025-01-24 08:00:00,Deposit,,DEV3,192.168.1.1,M004,Internet Banking,58,Wiraswasta,14,3,32469882.62239847,2025-01-22 08:00:00
TRX00058,ACC044,11.846513345714015,2025-01-24 18:00:00,Deposit,,DEV2,192.168.1.1,M002,Mobile Banking,64,Pelajar,89,1,31908524.398023315,2025-01-22 18:00:00
TRX00059,ACC099,237.83454458198264,2025-01-25 04:00:00,Withdrawal,,DEV2,192.168.1.1,M003,Internet Banking,51,Pelajar,283,1,27716042.269274697,2025-01-21 04:00:00
TRX00060,ACC086,147.94998890722803,2025-01-25 14:00:00,Transfer,,DEV4,172.16.0.1,M003,Internet Banking,53,Karyawan Swasta,186,4,668344.4376187845,2025-01-17 14:00:00
TRX00061,ACC024,276.38994742530156,2025-01-26 00:00:00,Withdrawal,,DEV4,10.0.0.1,M003,Internet Banking,54,Pelajar,145,4,34855708.455496766,2025-01-19 00:00:00
TRX00062,ACC081,46.59736348753329,2025-01-26 10:00:00,Transfer,Jakarta,DEV1,172.16.0.1,M004,ATM,34,PNS,34,3,18864485.37634691,2025-01-17 10:00:00
TRX00063,ACC074,17.228616609561154,2025-01-26 20:00:00,Payment,Medan,DEV1,172.16.0.1,M002,Internet Banking,57,Karyawan Swasta,192,1,47136224.53691691,2025-01-18 20:00:00
TRX00064,ACC030,8.417731401757052,2025-01-27 06:00:00,Transfer,Jakarta,DEV3,172.16.0.1,M001,Mobile Banking,57,Wiraswasta,177,2,40917440.07675254,2025-01-22 06:00:00
TRX00065,ACC059,641.9920562641961,2025-01-27 16:00:00,Withdrawal,Surabaya,DEV2,10.0.0.1,M001,ATM,29,PNS,187,3,29425954.029612478,2025-01-25 16:00:00
TRX00066,ACC087,777.4922722106056,2025-01-28 02:00:00,Withdrawal,Surabaya,DEV1,192.168.1.1,M002,Mobile Banking,38,Wiraswasta,104,4,12683880.892781544,2025-01-23 02:00:00
TRX00067,ACC096,233.69761205372023,2025-01-28 12:00:00,Transfer,Bali,DEV3,172.16.0.1,M004,ATM,57,Wiraswasta,42,1,10265497.924555562,2025-01-20 12:00:00
TRX00068,ACC081,66.60485517853674,2025-01-28 22:00:00,Deposit,Bali,DEV2,172.16.0.1,M001,ATM,36,Pelajar,120,4,17085203.4001097,2025-01-19 22:00:00
TRX00069,ACC081,13.006264939528055,2025-01-29 08:00:00,Payment,Surabaya,DEV4,192.168.1.1,M002,ATM,20,Pelajar,155,4,23880740.384642925,2025-01-20 08:00:00
TRX00070,ACC014,345.5088278277372,2025-01-29 18:00:00,Payment,Medan,DEV3,172.16.0.1,M001,ATM,35,Karyawan Swasta,240,1,14873668.95094346,2025-01-28 18:00:00
TRX00071,ACC009,28.469435572329665,2025-01-30 04:00:00,Withdrawal,Jakarta,DEV4,10.0.0.1,M003,Mobile Banking,68,Pelajar,281,3,25794981.820084892,2025-01-21 04:00:00
TRX00072,ACC040,51.06258630790044,2025-01-30 14:00:00,Deposit,Bandung,DEV1,172.16.0.1,M001,Internet Banking,36,Wiraswasta,47,1,8351984.233107978,2025-01-23 14:00:00
TRX00073,ACC066,61.56871576988213,2025-01-31 00:00:00,Transfer,Bali,DEV1,172.16.0.1,M004,Mobile Banking,64,Wiraswasta,144,3,48887869.359992445,2025-01-22 00:00:00
TRX00074,ACC025,110.3544172611695,2025-01-31 10:00:00,Payment,Bandung,DEV2,192.168.1.1,M002,Internet Banking,23,PNS,244,4,5485435.292753194,2025-01-23 10:00:00
TRX00075,ACC073,47.53371882428537,2025-01-31 20:00:00,Deposit,Medan,DEV3,172.16.0.1,M004,Mobile Banking,33,Wiraswasta,169,1,46604012.56875317,2025-01-30 20:00:00
TRX00076,ACC022,156.05182388742693,2025-02-01 06:00:00,Payment,Bali,DEV4,172.16.0.1,M002,ATM,25,Karyawan Swasta,47,2,45687542.76899447,2025-01-24 06:00:00
TRX00077,ACC004,58.39746896417263,2025-02-01 16:00:00,Deposit,Bandung,DEV2,10.0.0.1,M003,ATM,65,Karyawan Swasta,159,3,26315488.04279295,2025-01-24 16:00:00
TRX00078,ACC026,424.9874322279533,2025-02-02 02:00:00,Deposit,Medan,DEV1,192.168.1.1,M002,Internet Banking,35,Pelajar,38,2,36273022.56462061,2025-01-30 02:00:00
TRX00079,ACC058,696.866857992539,2025-02-02 12:00:00,Withdrawal,Jakarta,DEV1,192.168.1.1,M001,Internet Banking,69,Pelajar,153,3,21858810.068832133,2025-02-01 12:00:00
TRX00080,ACC029,174.65524705205914,2025-02-02 22:00:00,Payment,Medan,DEV3,10.0.0.1,M001,Mobile Banking,65,Pelajar,85,1,31538725.419367667,2025-01-25 22:00:00
TRX00081,ACC098,297.06159357381193,2025-02-03 08:00:00,Transfer,Bali,DEV4,172.16.0.1,M003,Internet Banking,60,Karyawan Swasta,154,2,17094739.27731382,2025-01-31 08:00:00
TRX00082,ACC087,3557.395391382243,2025-02-03 18:00:00,Withdrawal,Surabaya,DEV3,192.168.1.1,M002,Mobile Banking,56,Wiraswasta,238,1,15127835.087293724,2025-01-31 18:00:00
TRX00083,ACC037,25.561699418171013,2025-02-04 04:00:00,Withdrawal,Jakarta,DEV4,192.168.1.1,M003,Internet Banking,66,Pelajar,73,3,28953666.329858735,2025-02-03 04:00:00
TRX00084,ACC075,23.331347627465398,2025-02-04 14:00:00,Transfer,Bandung,DEV4,172.16.0.1,M001,Internet Banking,66,PNS,278,3,24956670.74178062,2025-01-30 14:00:00
TRX00085,ACC070,420.94275525254454,2025-02-05 00:00:00,Withdrawal,Bali,DEV3,172.16.0.1,M004,Internet Banking,29,Pelajar,193,3,29018864.820584055,2025-01-29 00:00:00
TRX00086,ACC018,2751.259968983911,2025-02-05 10:00:00,Deposit,Surabaya,DEV2,192.168.1.1,M003,ATM,62,Karyawan Swasta,270,3,14404363.006222447,2025-01-27 10:00:00
TRX00087,ACC085,100.40903136954144,2025-02-05 20:00:00,Deposit,Medan,DEV3,172.16.0.1,M004,ATM,27,Pelajar,277,4,18411195.807668064,2025-01-29 20:00:00
TRX00088,ACC042,1978.8096644325146,2025-02-06 06:00:00,Payment,Surabaya,DEV3,192.168.1.1,M004,Mobile Banking,24,Wiraswasta,178,3,4286508.235382575,2025-01-28 06:00:00
TRX00089,ACC041,171.51154432522623,2025-02-06 16:00:00,Payment,Bali,DEV1,172.16.0.1,M002,Internet Banking,63,Pelajar,268,2,2708590.9763830653,2025-01-29 16:00:00
TRX00090,ACC038,53.445854550452474,2025-02-07 02:00:00,Transfer,Bali,DEV1,172.16.0.1,M003,Mobile Banking,18,Karyawan Swasta,236,3,12747510.770683512,2025-02-05 02:00:00
TRX00091,ACC034,33.58103311782427,2025-02-07 12:00:00,Payment,Surabaya,DEV3,10.0.0.1,M004,Internet Banking,66,Karyawan Swasta,42,1,3804918.2805942334,2025-02-06 12:00:00
TRX00092,ACC017,381.5036344173747,2025-02-07 22:00:00,Deposit,Medan,DEV3,172.16.0.1,M004,ATM,53,PNS,223,4,5278357.960873561,2025-01-31 22:00:00
TRX00093,ACC037,37.62096212322735,2025-02-08 08:00:00,Transfer,Surabaya,DEV1,10.0.0.1,M002,ATM,38,Karyawan Swasta,59,2,40665127.42915746,2025-02-01 08:00:00
TRX00094,ACC025,167.65616816456824,2025-02-08 18:00:00,Transfer,Bali,DEV4,172.16.0.1,M002,Internet Banking,54,PNS,219,4,2039797.481132796,2025-01-31 18:00:00
TRX00095,ACC076,1595.907051772629,2025-02-09 04:00:00,Payment,Bali,DEV3,192.168.1.1,M001,Internet Banking,69,Wiraswasta,38,4,32981245.417343665,2025-02-04 04:00:00
TRX00096,ACC087,93.6748188339611,2025-02-09 14:00:00,Deposit,Bandung,DEV2,192.168.1.1,M004,ATM,41,Karyawan Swasta,48,4,13700631.665888486,2025-02-06 14:00:00
TRX00097,ACC086,1065.3026455146517,2025-02-10 00:00:00,Transfer,Bandung,DEV2,172.16.0.1,M001,ATM,42,Pelajar,109,1,43590129.46733551,2025-02-02 00:00:00
TRX00098,ACC085,24.003142647235535,2025-02-10 10:00:00,Deposit,Jakarta,DEV2,172.16.0.1,M004,Mobile Banking,24,Wiraswasta,182,4,24301115.00041723,2025-02-04 10:00:00
TRX00099,ACC027,66.62876212273613,2025-02-10 20:00:00,Deposit,Bali,DEV3,192.168.1.1,M001,ATM,59,Pelajar,26,4,15348265.320458503,2025-02-07 20:00:00
TRX00100,ACC057,17.98043029593086,2025-02-11 06:00:00,Deposit,Bandung,DEV4,172.16.0.1,M002,Internet Banking,34,Pelajar,65,3,25930182.890902784,2025-02-10 06:00:00
TRX00101,ACC031,165.58673464800754,2025-02-11 16:00:00,Payment,Surabaya,DEV4,10.0.0.1,M003,Mobile Banking,46,Pelajar,235,1,19159705.150358915,2025-02-08 16:00:00
TRX00102,ACC006,478.2421860588053,2025-02-12 02:00:00,Withdrawal,Medan,DEV1,10.0.0.1,M002,Internet Banking,47,Wiraswasta,55,2,28258623.127024528,2025-02-07 02:00:00
TRX00103,ACC091,166.1316641343543,2025-02-12 12:00:00,Withdrawal,Surabaya,DEV3,10.0.0.1,M001,Mobile Banking,24,Wiraswasta,76,2,5815190.129484777,2025-02-09 12:00:00
TRX00104,ACC040,935.0267046045651,2025-02-12 22:00:00,Transfer,Medan,DEV4,10.0.0.1,M001,Internet Banking,50,Karyawan Swasta,206,2,49849826.0903463,2025-02-11 22:00:00
TRX00105,ACC098,48.24205442313214,2025-02-13 08:00:00,Deposit,Bandung,DEV3,10.0.0.1,M003,ATM,24,Pelajar,151,1,21335238.297066204,2025-02-08 08:00:00
TRX00106,ACC012,208.0990421457924,2025-02-13 18:00:00,Payment,Jakarta,DEV1,172.16.0.1,M004,Internet Banking,41,PNS,32,2,17476708.921397697,2025-02-06 18:00:00
TRX00107,ACC053,67.27549231798059,2025-02-14 04:00:00,Deposit,Surabaya,DEV1,172.16.0.1,M001,Mobile Banking,28,Karyawan Swasta,103,1,35539471.43098162,2025-02-07 04:00:00
TRX00108,ACC071,255.31928963631222,2025-02-14 14:00:00,Deposit,Surabaya,DEV1,10.0.0.1,M001,Internet Banking,26,Wiraswasta,251,3,18258580.38411709,2025-02-05 14:00:00
TRX00109,ACC010,315.9563494263333,2025-02-15 00:00:00,Payment,Surabaya,DEV2,172.16.0.1,M001,Mobile Banking,29,PNS,246,3,41680387.820935,2025-02-12 00:00:00
TRX00110,ACC045,355.5244203942276,2025-02-15 10:00:00,Withdrawal,Medan,DEV3,172.16.0.1,M003,Internet Banking,52,Wiraswasta,63,1,22768109.14558522,2025-02-08 10:00:00
TRX00111,ACC017,29.788085336730955,2025-02-15 20:00:00,Deposit,Bandung,DEV1,10.0.0.1,M002,ATM,21,PNS,147,2,36005964.821945205,2025-02-14 20:00:00
TRX00112,ACC026,39.071013420694385,2025-02-16 06:00:00,Deposit,Surabaya,DEV3,172.16.0.1,M001,ATM,53,Karyawan Swasta,281,1,5461915.500450139,2025-02-12 06:00:00
TRX00113,ACC085,51.60241314207123,2025-02-16 16:00:00,Withdrawal,Surabaya,DEV2,172.16.0.1,M003,Internet Banking,45,PNS,50,1,42321347.359200075,2025-02-12 16:00:00
TRX00114,ACC092,103.71833193958764,2025-02-17 02:00:00,Payment,Jakarta,DEV2,172.16.0.1,M001,Internet Banking,30,Karyawan Swasta,107,4,36812327.54022768,2025-02-12 02:00:00
TRX00115,ACC062,169.14893623302225,2025-02-17 12:00:00,Transfer,Jakarta,DEV1,10.0.0.1,M004,Internet Banking,40,Wiraswasta,192,1,10664667.245252088,2025-02-10 12:00:00
TRX00116,ACC046,429.2904299598169,2025-02-17 22:00:00,Withdrawal,Bandung,DEV1,172.16.0.1,M003,Mobile Banking,36,PNS,137,4,7349771.886314753,2025-02-10 22:00:00
TRX00117,ACC064,41.58967548432513,2025-02-18 08:00:00,Transfer,Bandung,DEV4,192.168.1.1,M001,Internet Banking,59,Pelajar,238,3,15882988.201408658,2025-02-14 08:00:00
TRX00118,ACC002,13.443168428069477,2025-02-18 18:00:00,Transfer,Bali,DEV3,192.168.1.1,M003,Internet Banking,54,Pelajar,95,4,48805922.24299203,2025-02-11 18:00:00
TRX00119,ACC054,3765.420214677868,2025-02-19 04:00:00,Withdrawal,Jakarta,DEV1,10.0.0.1,M001,Mobile Banking,56,Wiraswasta,265,1,12915895.570896225,2025-02-16 04:00:00
TRX00120,ACC065,27.189217221417966,2025-02-19 14:00:00,Deposit,Bali,DEV4,192.168.1.1,M002,ATM,41,PNS,218,3,22860747.726437002,2025-02-13 14:00:00
TRX00121,ACC051,520.3416340930139,2025-02-20 00:00:00,Transfer,Medan,DEV3,10.0.0.1,M001,Internet Banking,33,Pelajar,224,4,1598009.263295082,2025-02-18 00:00:00
TRX00122,ACC053,155.53959289110344,2025-02-20 10:00:00,Transfer,Bali,DEV1,192.168.1.1,M003,Internet Banking,50,Karyawan Swasta,109,1,19921653.725355003,2025-02-11 10:00:00
TRX00123,ACC036,216.36319657089794,2025-02-20 20:00:00,Payment,Surabaya,DEV4,192.168.1.1,M004,ATM,29,PNS,58,3,28608868.770111825,2025-02-15 20:00:00
TRX00124,ACC026,148.06838698240534,2025-02-21 06:00:00,Deposit,Bali,DEV4,192.168.1.1,M004,ATM,51,PNS,210,4,47660918.16414746,2025-02-15 06:00:00
TRX00125,ACC029,83.32404617464427,2025-02-21 16:00:00,Transfer,Bandung,DEV3,10.0.0.1,M004,Mobile Banking,24,Pelajar,267,1,25885128.642509215,2025-02-17 16:00:00
TRX00126,ACC021,297.6619433821014,2025-02-22 02:00:00,Payment,Medan,DEV4,10.0.0.1,M001,Internet Banking,28,Karyawan Swasta,187,1,40973455.57626662,2025-02-15 02:00:00
TRX00127,ACC011,76.8702696030121,2025-02-22 12:00:00,Deposit,Surabaya,DEV3,172.16.0.1,M002,Internet Banking,48,Karyawan Swasta,254,2,27401669.36418814,2025-02-13 12:00:00
TRX00128,ACC040,853.5926768840307,2025-02-22 22:00:00,Withdrawal,Bali,DEV3,10.0.0.1,M001,Mobile Banking,46,Karyawan Swasta,132,2,2135172.1704323534,2025-02-15 22:00:00
TRX00129,ACC011,348.1597789730299,2025-02-23 08:00:00,Withdrawal,Medan,DEV3,192.168.1.1,M004,ATM,30,PNS,180,4,15818912.931969725,2025-02-22 08:00:00
TRX00130,ACC036,364.81528971661623,2025-02-23 18:00:00,Payment,Medan,DEV2,192.168.1.1,M003,Mobile Banking,48,Wiraswasta,145,4,28819920.440772053,2025-02-22 18:00:00
TRX00131,ACC059,69.36035217232863,2025-02-24 04:00:00,Withdrawal,Surabaya,DEV4,10.0.0.1,M004,ATM,19,PNS,68,4,47534638.8999631,2025-02-15 04:00:00
TRX00132,ACC039,104.11206784084617,2025-02-24 14:00:00,Transfer,Bali,DEV3,10.0.0.1,M003,Mobile Banking,56,PNS,202,1,42970604.951586545,2025-02-15 14:00:00
TRX00133,ACC099,24.981380991011843,2025-02-25 00:00:00,Deposit,Medan,DEV1,10.0.0.1,M002,ATM,32,Pelajar,277,4,11494945.147524497,2025-02-21 00:00:00
TRX00134,ACC054,87.39830727505674,2025-02-25 10:00:00,Transfer,Medan,DEV2,172.16.0.1,M003,Mobile Banking,28,Wiraswasta,269,1,11083480.517956259,2025-02-16 10:00:00
TRX00135,ACC098,31.347550356131485,2025-02-25 20:00:00,Transfer,Jakarta,DEV2,192.168.1.1,M001,ATM,51,Karyawan Swasta,104,4,10138531.058983648,2025-02-22 20:00:00
TRX00136,ACC055,1063.8000968854353,2025-02-26 06:00:00,Withdrawal,Medan,DEV4,172.16.0.1,M001,ATM,56,Pelajar,134,1,46132694.92549491,2025-02-19 06:00:00
TRX00137,ACC024,160.1008170545581,2025-02-26 16:00:00,Transfer,Jakarta,DEV3,172.16.0.1,M001,ATM,21,PNS,50,1,42648041.03977586,2025-02-20 16:00:00
TRX00138,ACC022,191.6643859295893,2025-02-27 02:00:00,Withdrawal,Bali,DEV4,192.168.1.1,M003,ATM,28,Wiraswasta,263,2,38766683.26942214,2025-02-19 02:00:00
TRX00139,ACC069,105.87722932776138,2025-02-27 12:00:00,Deposit,Bali,DEV2,192.168.1.1,M001,ATM,46,Karyawan Swasta,16,3,19697482.199788958,2025-02-18 12:00:00
TRX00140,ACC056,199.610582912816,2025-02-27 22:00:00,Deposit,Bali,DEV3,10.0.0.1,M001,Internet Banking,19,Karyawan Swasta,225,1,25268597.144508462,2025-02-22 22:00:00
TRX00141,ACC033,5986.824720335701,2025-02-28 08:00:00,Transfer,Bandung,DEV1,10.0.0.1,M001,ATM,33,PNS,78,4,23270154.065278124,2025-02-27 08:00:00
